t,open_price,close_price,high_price,low_price,volumn
20171109182100,8169000,8168000,8170000,8167000,0.95030909
20171109182200,8168000,8166000,8168000,8166000,1.46101101
20171109182300,8165000,8157000,8166000,8157000,2.15457367
20171109182400,8163000,8162000,8163000,8157000,1.03969119
20171109182500,8161000,8161000,8162000,8159000,1.865821
20171109182600,8162000,8162000,8162000,8161000,1.3259762
20171109182700,8162000,8162000,8162000,8161000,5.69510932
20171109182800,8162000,8161000,8162000,8161000,5.40598386
20171109182900,8162000,8161000,8162000,8157000,2.40440235
20171109183000,8160000,8161000,8161000,8160000,1.02775543
20171109183100,8160000,8161000,8161000,8159000,2.41582369
20171109183200,8160000,8162000,8162000,8160000,1.85127681
20171109183300,8162000,8163000,8164000,8161000,4.40921607
20171109183400,8163000,8164000,8165000,8163000,1.25425903
20171109183500,8164000,8164000,8165000,8164000,1.39780713
20171109183600,8164000,8166000,8166000,8163000,1.51278063
20171109183700,8167000,8180000,8181000,8167000,4.28501902
20171109183800,8180000,8171000,8192000,8171000,2.19571231
20171109183900,8172000,8190000,8190000,8172000,0.83639111
20171109184000,8177000,8190000,8190000,8177000,1.21173047
20171109184100,8193000,8195000,8195000,8191000,0.87470135
20171109184200,8195000,8194000,8198000,8193000,2.4426056000000003
20171109184300,8195000,8198000,8199000,8194000,3.02561593
20171109184400,8200000,8198000,8200000,8198000,3.21351863
20171109184500,8200000,8210000,8210000,8200000,1.03908553
20171109184600,8209000,8208000,8209000,8200000,1.13730943
20171109184700,8208000,8205000,8208000,8200000,4.26918595
20171109184800,8204000,8204000,8204000,8194000,0.72658175
20171109184900,8195000,8203000,8204000,8194000,1.07270643
20171109185000,8203000,8196000,8204000,8196000,1.71829347
20171109185100,8194000,8196000,8196000,8192000,1.37622365
20171109185200,8196000,8196000,8202000,8196000,4.84168286
20171109185300,8201000,8204000,8204000,8200000,2.38727406
20171109185400,8204000,8205000,8205000,8204000,0.786424
20171109185500,8208000,8206000,8210000,8202000,2.24751326
20171109185600,8212000,8235000,8235000,8212000,2.70060489
20171109185700,8230000,8243000,8244000,8230000,3.11446598
20171109185800,8244000,8248000,8250000,8240000,1.90269741
20171109185900,8245000,8236000,8245000,8236000,2.65743903
20171109190000,8235000,8221000,8236000,8217000,2.14630285
20171109190100,8220000,8217000,8220000,8216000,0.80637005
20171109190200,8215000,8217000,8217000,8211000,1.64233213
20171109190300,8217000,8239000,8239000,8216000,2.55508916
20171109190400,8217000,8222000,8295000,8216000,4.64053326
20171109190500,8295000,8290000,8295000,8221000,3.50127231
20171109190600,8290000,8225000,8290000,8224000,1.11954117
20171109190700,8225000,8277000,8277000,8225000,0.92105007
20171109190800,8275000,8231000,8275000,8226000,0.86639873
20171109190900,8232000,8223000,8232000,8223000,2.50165349
20171109191000,8224000,8222000,8225000,8210000,5.45036591
